# This table allows three kinds of mappings:
# 1: From major class to comma separated lemmas (place -> place,location)
# 2: From subclass to comma separated lemmas (city -> place,location,burg,metropolis...)
# 3: From markable string to comma separated markable strings (United States -> USA,US,America...)
# Sources: PPDB, Amir Zeldes (see licenses)
µl	μl
entrepreneur	contractor
enzymatic	enzyme
enzyme	enzymatic
epicenter	epicentre
epicentre	epicenter
epidemiologic	epidemiological
epidemiological	epidemiologic
epirbs	rls
epp	ppe
equal	equality
equality	equal
equilibrium	balance
equity	fairness
equivalence	equivalency
equivalency	equivalence
eradication	elimination
erakat	erekat
erekat	erakat
error	mistake
errors	mistakes
eru	erus
erus	eru
erw	reg
escudos	shields
esophagus	oesophagus
espionage	spy
espionage	spying
establishment	creation
estonian	kroon
estradiol	oestradiol
etching	engraving
etext	e-text
ethno-cultural	ethnocultural
ethnocultural	ethno-cultural
etiology	aetiology
euphemism	understatement
eur	euro
euro	eur
euro	euros
euro-scepticism	euroscepticism
euro-sceptics	eurosceptics
europeanisation	europeanization
europeanization	europeanisation
euros	€
euros	euro
euroscepticism	euro-scepticism
eurosceptics	euro-sceptics
evaluate	assess
evaluation	assessment
evaluations	assessments
evaluator	appraiser
evaluator	assessor
evaluators	assessors
evangelism	evangelization
evangelization	evangelism
evaporators	vaporizers
evening	night
event	event
everybody	everyone
everyone	everybody
evidence	proof
ex	former
ex-05	ex-5
ex-5	ex-05
examinations	reviews
examiner	reviewer
examiners	reviewers
example	instance
exceedances	overruns
excellence	excellency
excellency	e.
excellency	excellence
excerpts	extracts
excess	surplus
exchangers	interchanges
executioner	hangman
exhaustion	depletion
exhibition	exposure
exhibitions	exhibits
exhibits	exhibitions
expenditure	expenditures
expenditure	spending
expenditures	expenditure
expenditures	expenses
expenses	expenditures
experience	experiences
experiences	experience
experiences	experiments
experiments	experiences
expert	experts
experts	expert
expiration	expiry
expiry	expiration
explore	explorer
explorer	browser
explorer	explore
explosion	blast
explosions	blasts
explosions	bombings
explosive	explosives
explosives	explosive
exposure	exhibition
expulsion	deportation
extra-billing	overbilling
extracts	excerpts
eyelet	hanger
eyelets	carnations
führer	fuhrer
façade	facade
façades	facades
fabric	tissue
fabrics	tissues
facade	façade
facades	façades
facilitate	facilitating
facilitating	facilitate
facilities	installations
facsimile	fax
factory	plant
fader	attenuator
faeces	feces
faeries	fairies
faggots	fags
fags	faggots
fail-safe	failsafe
failsafe	fail-safe
fairies	faeries
fairness	equity
faith	fe
fall	autumn
falluja	fallujah
fallujah	al-fallujah
fallujah	falluja
familiarisation	familiarization
familiarization	familiarisation
famine	hunger
famine	starvation
fan	blower
fangs	crocs
farm	agricultural
farming	agriculture
fastener	retainer
fasteners	retainers
fate	destiny
father	dad
father	man
father-in-law	stepdad
father-in-law	stepfather
fatherhood	paternity
fatigue	tiredness
faulty	defective
favorite	favourite
favourite	favorite
favouritism	patronage
fax	facsimile
fbi	fbl
fbl	fbi
fc	cf
fe	faith
features	characteristics
feces	faeces
fecundity	fertility
fed	edf
federalisation	federalization
federalization	federalisation
feelings	sentiments
fellowships	scholarships
feminisation	feminization
feminization	feminisation
fertilisers	fertilizers
fertility	fecundity
fertilizers	fertilisers
fetus	foetus
fiancé	fiance
fiancée	fiancee
fiance	fiancé
fiancee	fiancée
fiber	fibre
fibers	fibres
fibre	fiber
fibres	fibers
fiddle	violin
field	area
fields	areas
fight	struggle
fighters	combatants
fighters	militants
filiation	parentage
filing	deposit
fillets	nets
film	movie
films	movies
financing	funding
findings	conclusions
fingernails	nails
fins	flippers
fiord	fjord
fiords	fjords
firearm	firearms
firearms	firearm
firefighter	fireman
firefighters	firemen
fireman	firefighter
firemen	firefighters
firewood	fuelwood
firm	company,firm
firms	companies
fisheries	fishery
fisheries	fishing
fishermen	fishers
fishers	fishermen
fishery	fisheries
fishing	fisheries
fissile	fissionable
fissionable	fissile
fitters	installers
fjord	fiord
fjords	fiords
flammable	inflammable
flash	flash-forward
flash-forward	flash
flashes	blinks
flask	vial
flasks	vials
flatmate	roommate
flight	vol
flippers	fins
flock	herd
flocks	herds
flood	flooding
flooding	flood
floppy	diskette
flu	influenza
fluid	liquid
fluoridation	fluorination
fluorination	fluoridation
fmv	jvm
foals	colts
foam	moss
foams	mosses
fodder	forage
foetus	fetus
fog	mist
foliar	leaf
follicle	follicular
follicular	follicle
fontaine	fountain
football	soccer
footboard	footpeg
footboards	footpegs
footpeg	footboard
footpegs	footboards
footwear	shoes
fora	forums
forage	fodder
forbearance	abstention
forces	troops
forefathers	ancestors
foreigners	aliens
forest	forestry
forestry	forest
foreword	preface
forfeiture	confiscation
formal	official
format	formatting
formatting	format
former	ex
forums	fora
founder	founding
founding	founder
foundries	smelters
foundry	smelter
fountain	fontaine
fr	en
frac-out	fracturing
fracturing	frac-out
francisation	francization
francization	francisation
franco-ontarians	franco-ontariens
franco-ontariens	franco-ontarians
fraternity	brotherhood
freak	monster
freaks	monsters
free-form	freeform
freedom	liberty
freedoms	liberties
freeform	free-form
freeze	freezing
freeze-drying	lyophilization
freezing	freeze
fridge	refrigerator
fridges	refrigerators
frog	grenouille
front-line	frontline
frontier	border
frontiers	borders
frontline	front-line
fruit	fruits
fruits	fruit
fs	sm
fte	ftes
ftes	fte
fuelwood	firewood
fuhrer	führer
fumes	vapours
fund-raising	fundraising
funding	financing
fundraising	fund-raising
fungi	mushrooms
furnace	oven
furnaces	kilns
furnaces	ovens
fuses	fuzes
fusion	merger
fuzes	fuses
g-20	g20
g-7	g7
g-8	g8
g20	g-20
g7	g-7
g8	g-8
gaines	sheaths
gallate	propyl
garages	lay-bys
gas-freeing	degassing
gasification	carbonation
gasoline	petrol
gaspereau	alewife
geese	goose
gelatin	gelatine
gelatine	gelatin
gender	sex
generalisations	generalizations
generalizations	generalisations
genius	engineering
geo-strategic	geostrategic
geologic	geological
geological	geologic
geostrategic	geo-strategic
gers	yurts
gherkins	pickles
ghettoes	ghettos
ghettos	ghettoes
ghost	phantom
ghosts	phantoms
gift	don
gifts	donations
girders	beams
girl	child,kid
girl	daughter
glass	drink
glasses	goggles
globalisation	globalization
globalization	globalisation
gloria	glory
glory	gloria
glossaries	lexicons
glucocorticoids	glucocorticosteroids
glucocorticosteroids	glucocorticoids
glycerin	glycerine
glycerine	glycerin
glycolysis	glycolytic
glycolytic	glycolysis
goal	objective
goals	objectives
goatmeat	caprine
goggles	glasses
goldeneyes	tourniquets
goma	rubber
gonaïves	gonaives
gonaives	gonaïves
gonorrhea	gonorrhoea
gonorrhoea	gonorrhea
good-bye	goodbye
goodbye	bye
goodbye	good-bye
goose	geese
gorge	throat
governess	housekeeper
government-wide	whole-of-government
gpu	gpus
gpus	gpu
grandchildren	grandkids
grandfather	grandpa
grandfather	man
grandkids	grandchildren
grandma	grandmother
grandmother	grandma
grandmother	woman
grandpa	grandfather
grant	subsidy
grants	subsidies
granules	pellets
graph	chart
graphic	chart
grasshoppers	locusts
grassland	prairie
grasslands	prairies
grave-sweepers	rave-sweepers
gravestone	headstone
gravestones	headstones
graveyard	cemetery
gravity	seriousness
gravity	severity
gravy	sauce
grayscale	greyscale
grazing	pasture
green	verde
greens	verts
grenada	grenade
grenade	grenada
grenadier	berglax
grenouille	frog
greyscale	grayscale
grille	louver
groove	slot
grooves	slots
groundhog	marmot
grounds	reasons
group	panel
gs	sg
guantánamo	guantanamo
guantanamo	guantánamo
guarantees	safeguards
gui	mistletoe
guidance	orientation
gun	weapon
gunmen	militants
gurney	stretcher
gym	gymnasium
gymnasium	gym
gynaecologist	gynecologist
gynaecologists	gynecologists
gynaecology	gynecology
gynecologist	gynaecologist
gynecologists	gynaecologists
gynecology	gynaecology
haematocrit	hematocrit
haematology	hematology
haemocytes	hemocytes
haemodialysis	hemodialysis
haemoglobin	hemoglobin
haemolymph	hemolymph
haemophilia	hemophilia
haemorrhagic	hemorrhagic
haemorrhoids	hemorrhoids
hajj	pilgrimage
hajjis	pilgrims
half-brother	stepbrother
half-carcases	half-carcasses
half-carcasses	half-carcases
half-sister	stepsister
hamburgers	burgers
hand-holds	handholds
handbook	manual
handcuffs	cuffs
handholds	hand-holds
handicrafts	crafts
hanger	eyelet
hangman	executioner
harbour	port
harbours	ports
hard-liners	hardliners
hardliners	hard-liners
hardwood	deciduous
hariri	al-hariri
harm	damage
harmonisation	harmonization
harmonization	harmonisation
harvest	harvesting
harvesting	harvest
hatching	incubation
hate	hatred
hatred	hate
haying	mowing
hazardous	dangerous
hazards	dangers
hc	sc
hch	hchs
hchs	hch
head	chief
headphone	headset
heads	chiefs
headset	headphone
headstone	gravestone
headstones	gravestones
headstones	tombstones
heathens	pagans
heaven	paradise
hegemonism	hegemonist
hegemonism	hegemony
hegemonist	hegemonism
hegemony	hegemonism
helices	propellers
helipad	heliport
heliport	helipad
helix	propeller
hello	hi
helmsman	steersman
hematocrit	haematocrit
hematology	haematology
hemocytes	haemocytes
hemodialysis	haemodialysis
hemoglobin	haemoglobin
hemolymph	haemolymph
hemophilia	haemophilia
hemorrhagic	haemorrhagic
hemorrhoids	haemorrhoids
hepatic	liver
heraldic	heraldry
heraldry	heraldic
herd	flock
herd-books	stud-books
herds	flocks
hex	hexadecimal
hexadecimal	hex
hezbollah	hizbollah
hi	hello
hieroglyphics	hieroglyphs
hieroglyphs	hieroglyphics
high-tech	high-technology
high-technology	high-tech
hill	shan
hippo	hippopotamus
hippopotamus	hippo
historic	historical
historical	historic
history	story
hive	beehive
hizbollah	hezbollah
homers	homeruns
homeruns	homers
homes	houses
honey	darling
honor	honour
honour	honor
hoofs	hooves
hookers	whores
hooves	hoofs
hopelessness	despair
hose	sleeve
hot-plug	hot-pluggable
hot-pluggable	hot-plug
hot-swap	hot-swappable
hot-swappable	hot-swap
housekeeper	governess
houses	homes
hpb-dgps	hpbdgps
hpbdgps	hpb-dgps
hs	sh
huang	wong
hub	concentrator
hub	cube
hubs	concentrators
humanisation	humanization
humanity	humankind
humanity	mankind
humanization	humanisation
humankind	humanity
humankind	mankind
humidity	moisture
humor	humour
humour	humor
hunger	famine
hunt	hunting
hunting	hunt
hussain	hussein
hussein	hussain
hutu	hutus
hutus	hutu
hydrazide	maleic
hydrologic	hydrological
hydrological	hydrologic
hydroxy	hydroxyl
hydroxyl	hydroxy
hymn	anthem
hypoglycaemia	hypoglycemia
hypoglycemia	hypoglycaemia
hypotheses	assumptions
hypothesis	assumption
ibn	bin
iconto	arrowto
ict	icts
icts	ict
id	identifier
identifier	id
ideologists	ideologues
ideologues	ideologists
idu	idus
idus	idu
if-	who-
igp	pgi
ill-treatment	maltreatment
ill-treatment	mistreatment
illegal	unlawful
illness	disease
illnesses	diseases
illumination	lighting
image	picture
imagery	imaging
images	pictures
imaging	imagery
ime	emi
immobi.	immobilizer
immobilizer	immobi.
immunization	vaccination
impasse	deadlock
impasse	stalemate
imperialist	imperialistic
imperialistic	imperialist
impetus	momentum
implementation	application
implementations	deployments
import	importation
importance	significance
importation	import
imposter	impostor
impostor	imposter
impotence	powerlessness
imprisonment	prison
improve	improving
improving	improve
inability	incapacity
inbound	incoming
inbreeding	consanguinity
incapacity	inability
inclination	tilt
include-	includes-
include-	including-
includes-	include-
includes-	including-
including-	include-
including-	includes-
income	revenue
incoming	inbound
incubation	hatching
indecision	indecisiveness
indecisiveness	indecision
indexation	indexing
indexing	indexation
indigenous	aboriginal
indignation	outrage
individualisation	individualization
individualization	individualisation
ineffectiveness	inefficiency
inefficiency	ineffectiveness
ineligible	non-eligible
infarction	myocardium
infiltrators	sneakers
inflammable	flammable
influenza	flu
info-structure	infostructure
informationization	informatization
informatization	informationization
infostructure	info-structure
infusion	perfusion
ingrowths	invaginations
inhibitor	inhibitory
inhibitory	inhibitor
injured	wounded
inn	iuu
inquiry	investigation
insects	bugs
insomnia	sleeplessness
inspector	detective
installations	facilities
installers	fitters
instance	example
institutionalisation	institutionalization
institutionalization	institutionalisation
instructors	trainers
instrument	tool
instruments	tools
insulation	isolation
insurance	assurance
insurgency	rebellion
insurgents	rebels
intelligent	smart
intent	intention
intention	intent
inter-ethnic	interethnic
inter-fund	interfund
inter-ministerial	interdepartmental
inter-parliamentary	interparliamentary
inter-regional	interregional
inter-religious	interreligious
inter-sessional	intersessional
interchanges	exchangers
interconnection	interswitching
interdepartmental	inter-ministerial
interethnic	inter-ethnic
interfaith	interreligious
interfund	inter-fund
interim	provisional
intern	trainee
internalisation	internalization
internalization	internalisation
internationalisation	internationalization
internationalization	internationalisation
interns	trainees
interoperation	intraoperation
interparliamentary	inter-parliamentary
interregional	inter-regional
interreligious	inter-religious
interreligious	interfaith
intersectoral	cross-sectoral
intersessional	inter-sessional
interswitching	interconnection
intestinal	bowel
intimidation	bullying
intraoperation	interoperation
intruders	trespassers
intussusception	invagination
invagination	intussusception
invaginations	ingrowths
investigation	inquiry
investigator	researcher
investigators	researchers
inviolability	sanctity
invoicing	billing
involvement	participation
iodination	iodization
iodization	iodination
ion	ionic
ionic	ion
ionisation	ionization
ionising	ionizing
ionization	ionisation
ionizing	ionising
iowa	lowa
ipc	cpi
iraqi	iraqis
iraqis	iraqi
iris	lris
irrespective	regardless
irritant	irritating
irritating	irritant
islam	al-islam
island	island,place
isoenzymes	isozymes
isolation	insulation
isomerisation	isomerization
isomerization	isomerisation
isotope	isotopic
isotopic	isotope
isozymes	isoenzymes
issue	matter
issue	question
issuer	transmitter
issuers	transmitters
issues	matters
issues	questions
iu	ui
iuu	inn
ivan	lvan
ivy	lvy
jail	prison
jails	prisons
jakarta	djakarta
janitor	concierge
jeddah	jiddah
jeweler	jeweller
jeweller	jeweler
jewellery	jewelry
jewelry	jewellery
jiddah	jeddah
jigsaw	puzzle
jirga	loya
jj	dd
joint	common
journal	newspaper
judgement	judgment
judgment	judgement
juice	jus
jumper	bridge
jurisprudence	case-law
jus	juice
justification	rationale
jvm	fmv
kafala	kafalah
kafalah	kafala
kaolin	kaolinite
kaolinite	kaolin
kayak	kayaking
kayaking	kayak
kernels	almonds
keyboard	keypad
keymaker	keymaster
keymaster	disciple
keymaster	keymaker
keypad	keyboard
kg	kilograms
kidnapper	abductor
kidnapping	abduction
kidnappings	abductions
killer	murderer
killers	murderers
killings	murders
kiln	oven
kilns	furnaces
kilns	ovens
kilogrammes	kilograms
kilograms	kg
kilograms	kilogrammes
kilometers	kilometres
kilometers	km
kilometres	kilometers
kilometres	km
kilotonnes	kilotons
kilotons	kilotonnes
kind	type
kinds	types
kings	reyes
kitchen	cooking
kittens	catkins
km	kilometers
km	kilometres
knight	chevalier
knock	toc
kpi	kpis
kpis	kpi
kroon	estonian
kurdish	kurds
kurds	kurdish
l.111	l.112
l.112	l.111
l1s	n1
lab	laboratory
label	tag
labelers	labellers
labellers	labelers
labels	tags
laboratories	labs
laboratory	lab
labs	laboratories
labyrinth	maze
lac	lake
lack	absence
lake	lac
lam	lin
lamps	lights
lana	wool
language	linguistic
lanyards	loins
laptop	notebook
laptop	portable
laptops	notebooks
larch	tamarack
larvae	larval
larval	larvae
lats	latvian
latvian	lats
law	act
law	right
lawfulness	legality
lawlessness	anarchy
lawmakers	legislators
lay-bys	garages
layout	design
lb	lbs
lbs	lb
lcr	crl
leaf	foliar
leaflets	pamphlets
leak	leakage
leakage	leak
lease	rental
least	less
leatherback	lute
lee	li
leeches	bloodsuckers
legalisation	legalization
legality	lawfulness
legalization	legalisation
legibility	readability
legible	readable
legislators	lawmakers
leisure	recreation
leniency	clemency
lenses	lentils
lentils	lenses
less	least
lessee	tenant
letter	charter
leucocytes	leukocytes
leukaemia	leukemia
leukemia	leukaemia
leukocytes	leucocytes
lexicons	glossaries
li	lee
liability	responsibility
libel	defamation
liberalisation	liberalization
liberalization	liberalisation
liberia	liberian
liberian	liberia
liberties	freedoms
liberty	freedom
licence	license
licences	licenses
license	licence
licenses	licences
life	living
lighthouse	phare
lighting	illumination
lights	lamps
likelihood	probability
limestone	calcareous
limo	limousine
limousine	limo
lin	lam
linguistic	language
linkages	links
links	linkages
liquid	fluid
liras	lire
lire	liras
liters	litres
lithograph	lithography
lithography	lithograph
litres	liters
liver	hepatic
living	life
load	loading
loading	load
loci	locus
lock-outs	lockouts
locket	medallion
lockouts	lock-outs
locus	loci
locusts	grasshoppers
logic	logical
logical	logic
login	logon
logins	logons
logistic	logistical
logistical	logistic
logistical	logistics
logistics	logistical
logoff	logout
logon	login
logons	logins
logout	logoff
loins	lanyards
lollipop	pacifier
loneliness	solitude
long-liners	longliners
longliners	long-liners
looting	plundering
lordship	seigneury
lorries	trucks
louver	grille
lowa	iowa
loya	jirga
lp	sq
lris	iris
luck	chance
luggage	baggage
lunch	luncheon
luncheon	lunch
lung	pulmonary
lupin	lupine
lupine	lupin
lupines	lupins
lupins	lupines
lures	decoys
lustre	chandelier
lute	leatherback
lvan	ivan
lvy	ivy
lymph	lymphatic
lymphatic	lymph
lyophilization	freeze-drying
métis	metis
m-4	d-4
m-7	d-7
m.	mr.
m.b.a.	mba
m.d.	md
mac	pimp
macao	macau
macau	macao
macro-economic	macroeconomic
macro-region	macroregion
macro-regions	macroregions
macroeconomic	macro-economic
macroregion	macro-region
macroregions	macro-regions
madrasas	madrassas
madrassas	madrasas
magnitudes	amplitudes
mahdi	al-mahdi
maiming	mutilation
main	principal
maize	corn
maleic	hydrazide
maltreatment	ill-treatment
mama	mom
mammogram	mammography
mammography	mammogram
manat	manats
manats	manat
mandatory	compulsory
manhood	virility
manicure	manicurist
manicurist	manicure
manikin	dummy
manioc	cassava
mankind	humanity
mankind	humankind
manual	handbook
manual	manuel
manuel	manual
manufacture	manufacturing
manufacturing	manufacture
map	card
mapmaker	cartographer
mapper	allocator
mapping	cartography
maps	cards
maquila	maquiladora
maquiladora	maquila
marginalisation	marginalization
marginalization	marginalisation
marianne	marion
marihuana	marijuana
marijuana	marihuana
marine	maritime
marine	navy
marion	marianne
maritime	marine
marketing	commercialization
marmot	groundhog
marmots	woodchucks
marriage	wedding
masseur	bone-setter
material	materials
materialism	materialist
materialist	materialism
materials	material
maternity	motherhood
matter	issue
matters	issues
maturation	ripening
maurice	mauritius
mauritius	maurice
maze	labyrinth
mb	mo
mba	m.b.a.
md	m.d.
mdc	cmd
mdma	motapm
measures	steps
medallion	concho
medallion	locket
mediator	ombudsman
medicines	drugs
mega-banks	megabanks
mega-projects	megaprojects
megabanks	mega-banks
megaprojects	mega-projects
megatonnes	megatons
megatons	megatonnes
meiosis	meiotic
meiotic	meiosis
member	members
members	member
memoranda	memorandums
memorandums	memoranda
memories	souvenirs
mentoring	mentorship
mentorship	mentoring
mercenaries	mercenary
mercenary	mercenaries
merger	fusion
mermaid	siren
mermaids	sirens
metal	metallic
metallic	metal
metalloproteases	metalloproteinases
metalloproteinases	metalloproteases
metamorphic	metamorphism
metamorphism	metamorphic
meteor	meteorite
meteorite	meteor
meters	metres
methyl	bromide
metis	métis
metres	meters
mi-17	mi-8
mi-8	mi-17
mic	microphone
micellar	micelle
micelle	micellar
micro-algae	microalgae
micro-architecture	microarchitecture
micro-businesses	micro-enterprises
micro-credit	microcredit
micro-data	microdata
micro-electronics	microelectronics
micro-enterprises	micro-businesses
micro-enterprises	microenterprises
micro-entrepreneurs	microentrepreneurs
micro-finance	microfinance
micro-management	micromanagement
micro-organisms	microorganisms
micro-projects	microprojects
micro-regions	microregions
micro-satellite	microsatellite
microalgae	micro-algae
microarchitecture	micro-architecture
microcredit	micro-credit
microdata	micro-data
microelectronics	micro-electronics
microenterprises	micro-enterprises
microentrepreneurs	micro-entrepreneurs
microfinance	micro-finance
microgrammes	micrograms
micrograms	microgrammes
micromanagement	micro-management
micrometers	micrometres
micrometers	microns
micrometres	micrometers
microns	micrometers
microorganisms	micro-organisms
microphone	mic
microprojects	micro-projects
microregions	micro-regions
microsatellite	micro-satellite
mid-morning	midmorning
mid-point	midpoint
mid-session	midsession
mid-summer	midsummer
mid-term	midterm
midget	dwarf
midgets	dwarves
midmorning	mid-morning
midpoint	mid-point
midsession	mid-session
midsummer	mid-summer
midterm	mid-term
migrant	migrants
migrants	migrant
militants	fighters
militants	gunmen
militarisation	militarization
militarization	militarisation
militarization	weaponization
milk	dairy
milliliter	millilitre
millilitre	milliliter
mine-clearance	demining
miniature	thumbnail
ministerial	departmental
ministries	departments
ministry	department
misinformation	disinformation
missiles	rockets
mist	fog
mistake	error
mistakes	errors
mistletoe	gui
mistreatment	ill-treatment
mistrust	distrust
mitochondria	mitochondrion
mitochondrion	mitochondria
mittens	mitts
mitts	mittens
mixer	switcher
mixing	mixture
mixture	mixing
mixtures	blends
mo	mb
mobilization	mobilizing
mobilize	mobilizing
mobilizing	mobilization
mobilizing	mobilize
modeler	shaper
modelers	modellers
modeling	modelling
modellers	modelers
modelling	modeling
modernisation	modernization
modernization	modernisation
mohamed	mohammad
mohamed	muhammad
mohammad	mohamed
mohammad	muhammad
moist	wet
moisture	humidity
mold	mould
molluscs	mollusks
mollusks	molluscs
molt	molting
molt	moult
molt	moulting
molting	molt
mom	mama
mom	mommy
mom	mother
momentum	impetus
mommy	mom
mon	monday
monday	mon
monitoring	surveillance
monkey	ape
monkeys	apes
monomer	monomeric
monomeric	monomer
monster	freak
monsters	freaks
month	months
months	month
montréal	montreal
montreal	montréal
moonroof	sunroof
mooring	berthage
mop	rp
morgue	mortuary
morphologic	morphological
morphological	morphologic
mortuary	morgue
moss	foam
mosses	foams
motapm	mdma
motapm	motapms
motapms	motapm
mother	mom
mother	woman
mother-in-law	stepmom
mother-in-law	stepmother
motherhood	maternity
motoneurones	motoneurons
motoneurons	motoneurones
motor	engine
motorcycle	bike
mould	mold
moulds	mussels
moult	molt
moult	moulting
moulting	molt
moulting	moult
mountain	mountain,hill,ridge,range
mountain	mountainous
mountaineer	climber
mountaineers	climbers
mountainous	mountain
moustache	mustache
movie	film
movies	films
mowing	haying
mp3	mp3s
mp3s	mp3
mpa	zpm
mr.	m.
mt	tm
mucous	mucus
mucus	mucous
muffler	silencer
mugs	cups
muhammad	mohamed
muhammad	mohammad
mules	burros
multi-annual	multi-year
multi-channel	multichannel
multi-core	multicore
multi-disciplinary	multidisciplinary
multi-ethnic	multiethnic
multi-functionality	multifunctionality
multi-media	multimedia
multi-polarization	multipolarization
multi-sectoral	multisectoral
multi-tasking	multitasking
multi-threading	multithreading
multi-year	multi-annual
multicast	multicasting
multicasting	multicast
multichannel	multi-channel
multicore	multi-core
multidisciplinary	multi-disciplinary
multiethnic	multi-ethnic
multifunction	all-in-one
multifunctionality	multi-functionality
multimedia	multi-media
multimeter	multitester
multipolarization	multi-polarization
multisectoral	multi-sectoral
multitasking	multi-tasking
multitester	multimeter
multithreading	multi-threading
murderer	assassin
murderer	killer
murderers	assassins
murderers	killers
murders	killings
musée	museum
museum	musée
musharaf	musharraf
musharraf	musharaf
mushrooms	fungi
muskox	muskoxen
muskoxen	muskox
muslim	muslims
muslims	muslim
mussels	moulds
mustache	moustache
mutilation	maiming
mwtps	mwwtps
mwwtps	mwtps
mycelia	mycelium
mycelium	mycelia
mycorrhiza	mycorrhizae
mycorrhizae	mycorrhiza
myocardium	infarction
n.a.	n.d.
n.d.	n.a.
n03-	no3-
n1	l1s
nails	fingernails
najaf	al-najaf
name	behalf
nanjing	nanking
nanking	nanjing
nanometer	nanometre
nanometers	nanometres
nanometre	nanometer
nanometres	nanometers
napkin	towel
napkins	towels
nationalisation	nationalization
nationalization	nationalisation
naturalisation	naturalization
naturalisations	naturalizations
naturalization	naturalisation
naturalizations	naturalisations
nature	character
navigability	airworthiness
navigator	browser
navy	marine
nazi	nazis
nazis	nazi
ncc	scc
necklace	collier
neglect	negligence
negligence	neglect
negotiating	negotiation
negotiation	negotiating
neighbor	neighbour
neighbors	neighbours
neighbour	neighbor
neighbours	neighbors
neo-colonialism	neocolonialism
neo-cons	neo-conservatives
neo-conservatives	neo-cons
neo-liberal	neoliberal
neo-liberalism	neoliberalism
neo-nazi	neo-nazis
neo-nazis	neo-nazi
neocolonialism	neo-colonialism
neoliberal	neo-liberal
neoliberalism	neo-liberalism
nets	fillets
neurones	neurons
neurons	neurones
newbie	probie
newsletter	bulletin
newsletters	bulletins
newspaper	journal,newspaper
newts	tritons
nicin	nisin
night	evening
nightdresses	nightshirts
nightgowns	nightshirts
nightshirts	nightdresses
nightshirts	nightgowns
ninth	9th
nisin	nicin
no3-	n03-
non-disruptive	nondisruptive
non-eligible	ineligible
non-extension	non-renewal
non-interference	non-intervention
non-intervention	non-interference
non-linear	nonlinear
non-linearities	nonlinearities
non-linearity	nonlinearity
non-metals	nonmetals
non-participants	nonparticipants
non-profit	not-for-profit
non-recipients	non-sars
non-renewal	non-extension
non-respondents	non-responders
non-responders	non-respondents
non-sars	non-recipients
non-users	nonusers
nondisruptive	non-disruptive
nonlinear	non-linear
nonlinearities	non-linearities
nonlinearity	non-linearity
nonmetals	non-metals
nonparticipants	non-participants
nonprescription	over-the-counter
nonusers	non-users
normalcy	normality
normality	normalcy
norms	standards
north-east	northeast
north-west	northwest
northeast	north-east
northwest	north-west
not-for-profit	non-profit
notebook	laptop
notebooks	laptops
notifiable	reportable
notion	concept
nscs	cns
nucleolar	nucleolus
nucleolus	nucleolar
nucleophile	nucleophilic
nucleophilic	nucleophile
nunnery	convent
oat	oats
oats	oat
object	thing
objective	aim
objective	goal
objectives	goals
objectives	targets
observations	comments
obstacles	barriers
occasion	opportunity
occupations	professions
octabde	oktabde
odour	smell
oesophagus	esophagus
oestradiol	estradiol
off-gas	off-gases
off-gases	off-gas
offence	crime
offences	crimes
office	bureau
officer	agent
official	formal
ohm	ohms
ohms	ohm
oid	dio
oil	petroleum
oktabde	octabde
oman	amman
ombudsman	mediator
omelet	omelette
omelette	omelet
on-line	online
one-person-enterprises	opes
online	on-line
opes	one-person-enterprises
opinions	views
opossum	possum
opportunity	chance
opportunity	occasion
optimal	optimum
optimization	optimizing
optimizes	streamlines
optimizing	optimization
optimum	optimal
optometric	optometry
optometry	optometric
orang-utans	orangutans
orangutans	orang-utans
orchestra	orchestre
orchestre	orchestra
organ	body
organisation	organization
organisations	organizations
organiser	organizer
organisers	organizers
organization	organisation
organizations	organisations
organizer	organiser
organizers	organisers
organs	bodies
orientation	guidance
orléans	'orléans
orogen	orogeny
orogeny	orogen
orphaned	orphans
orphans	orphaned
orthopaedic	orthopedic
orthopaedics	orthopedics
orthopedic	orthopaedic
orthopedics	orthopaedics
osb	tso
outcast	pariah
outcome	result
outcomes	results
outrage	indignation
oval	ellipse
oval	ovale
ovale	oval
oven	furnace
oven	kiln
ovens	furnaces
ovens	kilns
over-capacity	overcapacity
over-exploitation	overexploitation
over-fishing	overfishing
over-production	overproduction
over-protection	overprotection
over-regulation	overregulation
over-representation	overrepresentation
over-the-counter	nonprescription
overbilling	extra-billing
overcapacity	over-capacity
overexploitation	over-exploitation
overfishing	over-fishing
overproduction	over-production
overprotection	over-protection
overregulation	over-regulation
overrepresentation	over-representation
overruns	exceedances
overwrite	overwriting
overwriting	overwrite
ovine	sheep
ownership	property
oxidising	oxidizing
oxidizing	oxidising
p.c.	c.p.
p.m.	a.m.
pac	cip
pacifier	lollipop
package	packet
packager	packer
packages	packets
packaging	packing
packer	packager
packet	package
packets	packages
packing	packaging
pact	covenant
pacts	covenants
paddles	pallets
paediatrician	pediatrician
paediatricians	pediatricians
paediatrics	pediatrics
paedophilia	pedophilia
pagans	heathens
painkillers	analgesics
paint	painting
painting	paint
paintings	paints
paints	paintings
pairs	couples
pajamas	pyjamas
palace	palais
palaeontology	paleontology
palais	palace
paleontology	palaeontology
palestine	palestinian
palestinian	palestine
palestinian	palestinians
palestinians	palestinian
palettes	pallets
pallets	paddles
pallets	palettes
pam	wfp
pamphlet	brochure
pamphlets	brochures
pamphlets	leaflets
panacea	cure-all
pancakes	crepes
pane	panel
panel	group
